bin,py_i,py_q,rtl_i,rtl_q,py_mag,rtl_mag,diff_i,diff_q
1749,0,-1,0,-1,1,1,0,0
1750,2,-1,2,-1,3,3,0,0
1751,1,-1,1,-1,2,2,0,0
1752,0,0,0,0,0,0,0,0
1753,1,0,1,0,1,1,0,0
1754,1,0,1,0,1,1,0,0
1755,1,1,1,1,2,2,0,0
1756,1,0,1,0,1,1,0,0
1757,1,1,1,1,2,2,0,0
1758,1,2,1,2,3,3,0,0
1759,1,1,1,1,2,2,0,0
1760,1,2,1,2,3,3,0,0
1761,1,3,1,3,4,4,0,0
1762,-1,3,-1,3,4,4,0,0
1763,-1,2,-1,2,3,3,0,0
1764,-1,2,-1,2,3,3,0,0
1765,-2,2,-2,2,4,4,0,0
1766,-2,2,-2,2,4,4,0,0
1767,-1,3,-1,3,4,4,0,0
1768,-2,3,-2,3,5,5,0,0
1769,-3,1,-3,1,4,4,0,0
1770,-2,2,-2,2,4,4,0,0
1771,-2,2,-2,2,4,4,0,0
1772,-3,1,-3,1,4,4,0,0
1773,-4,2,-4,2,6,6,0,0
